Wall time,Step,Value
1665269476.2069428,10001,-224.0733642578125
1665269498.4340074,20001,-162.39077758789062
1665269527.609652,30001,-151.55044555664062
1665269554.3935235,40001,-144.41671752929688
1665269581.8489861,50001,-126.1981430053711
1665269609.019653,60001,-120.10393524169922
1665269636.8566785,70001,-89.8942642211914
1665269662.3610384,80001,-62.44587707519531
1665269688.2653787,90001,-45.78451156616211
1665269713.4621472,100001,-17.07077980041504
1665269737.6520011,110001,16.378244400024414
1665269764.036818,120001,28.576499938964844
1665269790.069792,130001,36.083885192871094
1665269816.935015,140001,43.39039611816406
1665269842.3660018,150001,34.467315673828125
1665269868.3412077,160001,37.2921028137207
1665269895.6911862,170001,41.66917037963867
1665269921.1777644,180001,45.265899658203125
1665269946.9705977,190001,50.0482292175293
1665269973.1702356,200001,49.72161102294922
1665269997.237042,210001,54.722007751464844
1665270021.5737782,220001,56.49860382080078
1665270045.1835585,230001,70.30274963378906
1665270068.045923,240001,68.34354400634766
1665270092.142737,250001,72.34805297851562
1665270117.5560117,260001,88.42184448242188
1665270142.907846,270001,93.15785217285156
1665270169.6466458,280001,99.35028076171875
1665270197.3299298,290001,95.38534545898438
1665270218.963673,300001,127.45690155029297
1665270241.560789,310001,141.61590576171875
1665270264.503481,320001,151.32223510742188
1665270287.5617967,330001,145.2878875732422
1665270312.9712448,340001,121.64945220947266
1665270338.193972,350001,122.73287200927734
1665270364.1287806,360001,115.1703109741211
1665270390.0810392,370001,124.95576477050781
1665270413.5620656,380001,98.89677429199219
1665270436.356865,390001,101.54861450195312
1665270457.8514805,400001,133.7355499267578
1665270480.6070058,410001,106.23124694824219
1665270502.2657173,420001,53.14303207397461
1665270522.925751,430001,81.00881958007812
1665270546.3235435,440001,89.20063781738281
1665270567.5733309,450001,79.64790344238281
1665270587.7333531,460001,76.5545425415039
1665270607.6414778,470001,60.999176025390625
1665270627.5932014,480001,84.09729766845703
1665270647.3170366,490001,81.8017807006836
