Wall time,Step,Value
1665196704.55373,10001,-226.364013671875
1665196728.4258773,20001,-208.30409240722656
1665196757.5591614,30001,-193.4288330078125
1665196786.0816245,40001,-176.19607543945312
1665196815.1930134,50001,-161.72100830078125
1665196842.2102282,60001,-134.18304443359375
1665196867.6611004,70001,-116.83129119873047
1665196893.7543728,80001,-88.72582244873047
1665196918.2325566,90001,-49.981964111328125
1665196943.4741194,100001,-26.523544311523438
1665196968.7962823,110001,-6.352299213409424
1665196993.6213534,120001,8.57418155670166
1665197022.220563,130001,36.028804779052734
1665197053.6398933,140001,44.4302864074707
1665197082.8482428,150001,48.7805061340332
1665197113.7998037,160001,62.30093765258789
1665197141.1170158,170001,81.57970428466797
1665197166.1616254,180001,88.53362274169922
1665197192.3626053,190001,76.6910629272461
1665197217.144518,200001,66.00879669189453
1665197240.2801895,210001,58.056819915771484
1665197264.9204404,220001,50.46540451049805
1665197293.2789533,230001,44.04256820678711
1665197318.3384552,240001,49.17750930786133
1665197343.1304326,250001,55.12970733642578
1665197368.4592373,260001,54.99525451660156
1665197391.5233305,270001,58.814205169677734
1665197416.4314327,280001,55.616397857666016
1665197440.8735514,290001,41.13591003417969
1665197464.786412,300001,69.86444091796875
1665197491.4880183,310001,79.0609359741211
1665197515.5371249,320001,95.94632720947266
1665197537.6831195,330001,96.42533111572266
1665197560.2654772,340001,101.3517837524414
1665197584.5750194,350001,112.08976745605469
1665197609.280936,360001,83.6798324584961
1665197631.8776298,370001,51.28395462036133
1665197655.3590097,380001,82.43881225585938
1665197681.5112944,390001,99.89468383789062
1665197705.8487775,400001,84.78951263427734
1665197728.6410103,410001,67.83078002929688
1665197751.8845916,420001,72.13052368164062
1665197774.796112,430001,85.10533142089844
1665197801.9066172,440001,81.80621337890625
1665197826.1630359,450001,67.55360412597656
1665197854.1401303,460001,69.17121887207031
1665197877.2429502,470001,71.72354125976562
1665197899.216117,480001,92.41787719726562
1665197923.5148122,490001,71.55853271484375
