Name,Step,Evaluation Average Return
Value Network,5,-97.43558502
Value Network,6,-80.28848267
Value Network,7,-85.13672638
Value Network,8,-99.61249542
Value Network,9,-106.392952
Value Network,10,-68.02825165
Value Network,11,-96.37050629
Value Network,12,-87.46689606
Value Network,13,-61.23845291
Value Network,14,-78.5981369
Value Network,15,-28.176054
Value Network,16,-62.4367981
Value Network,17,-90.78025055
Value Network,18,-46.59570694
Value Network,19,-47.57252121
Value Network,20,-46.66419601
Value Network,21,-35.46627426
Value Network,22,-88.91042328
Value Network,23,-66.14804077
Value Network,24,-58.3412323
Value Network,25,-96.6901474
Value Network,26,-52.59608078
Value Network,27,-72.61987305
Value Network,28,-67.53391266
Value Network,29,-33.53731155
Value Network,30,-50.47102356
Value Network,31,-74.69820404
Value Network,32,-74.79322052
Value Network,33,-51.65543747
Value Network,34,-79.26137543
Value Network,35,-63.58704758
Value Network,36,-45.46484375
Value Network,37,-55.21146774
Value Network,38,-50.4811554
Value Network,39,-57.49510574
Value Network,40,-58.45298386
Value Network,41,-41.04961014
Value Network,42,-62.64518738
Value Network,43,-29.6605587
Value Network,44,-67.94415283
Value Network,45,-39.59144211
Value Network,46,-32.15111542
Value Network,47,-76.33545685
Value Network,48,-63.31292725
Value Network,49,-16.51049614
Value Network,50,-78.25540924
Value Network,51,-35.57692337
Value Network,52,22.61181641
Value Network,53,-96.10002899
Value Network,54,-35.23756409
Value Network,55,-10.39861202
Value Network,56,-57.65615845
Value Network,57,-74.57435608
Value Network,58,-71.89662933
Value Network,59,-46.67943192
Value Network,60,-64.67948151
Value Network,61,-46.65958023
Value Network,62,-45.00869751
Value Network,63,-46.10654831
Value Network,64,-41.54748917
Value Network,65,-57.54561234
Value Network,66,-40.76545334
Value Network,67,-47.66566086
Value Network,68,-31.65729713
Value Network,69,-11.41422749
Value Network,70,-22.68723869
Value Network,71,-27.41484833
Value Network,72,-13.49423695
Value Network,73,-33.0659523
Value Network,74,-28.42977715
Value Network,75,-7.801038265
Value Network,76,-34.55817032
Value Network,77,-16.96997261
Value Network,78,-4.657100201
Value Network,79,-22.73467445
Value Network,80,-21.2236557
Value Network,81,-28.70906258
Value Network,82,-30.77677345
Value Network,83,-28.00794029
Value Network,84,-30.28922081
Value Network,85,-24.26722145
Value Network,86,-19.46401215
Value Network,87,-22.53429604
Value Network,88,3.325704575
Value Network,89,9.744707108
Value Network,90,-11.80191898
Value Network,91,6.312282562
Value Network,92,-14.46309948
