Name,Step,Evaluation Average Return
"b=10000, lr=0.01",46,-10.84304333
"b=10000, lr=0.01",47,-12.73011494
"b=10000, lr=0.01",48,1.043269157
"b=10000, lr=0.01",49,0.337884575
"b=10000, lr=0.01",50,-20.84967232
"b=10000, lr=0.01",51,-13.92166805
"b=10000, lr=0.01",52,-25.4053421
"b=10000, lr=0.01",53,-8.242825508
"b=10000, lr=0.01",54,-3.83619523
"b=10000, lr=0.01",55,-4.511663914
"b=10000, lr=0.01",56,-8.265016556
"b=10000, lr=0.01",57,-13.50815105
"b=10000, lr=0.01",58,-14.23478699
"b=10000, lr=0.01",59,0.41501689
"b=10000, lr=0.01",60,-19.421875
"b=10000, lr=0.01",61,-6.810908794
"b=10000, lr=0.01",62,7.8469491
"b=10000, lr=0.01",63,-8.241894722
"b=10000, lr=0.01",64,-11.26918888
"b=10000, lr=0.01",65,9.455947876
"b=10000, lr=0.01",66,12.91927338
"b=10000, lr=0.01",67,12.96107578
"b=10000, lr=0.01",68,11.14115238
"b=10000, lr=0.01",69,-2.046537399
"b=10000, lr=0.01",70,10.10554886
"b=10000, lr=0.01",71,7.192943096
"b=10000, lr=0.01",72,16.97060585
"b=10000, lr=0.01",73,10.51250172
"b=10000, lr=0.01",74,9.811858177
"b=10000, lr=0.01",75,35.80116272
"b=10000, lr=0.01",76,36.80385971
"b=10000, lr=0.01",77,41.54017639
"b=10000, lr=0.01",78,17.95731544
"b=10000, lr=0.01",79,37.5592308
"b=10000, lr=0.01",80,43.272995
"b=10000, lr=0.01",81,34.80736923
"b=10000, lr=0.01",82,44.85664749
"b=10000, lr=0.01",83,32.4631691
"b=10000, lr=0.01",84,44.633564
"b=10000, lr=0.01",85,43.18181992
"b=10000, lr=0.01",86,54.58246231
"b=10000, lr=0.01",87,64.1423111
"b=10000, lr=0.01",88,48.77674484
"b=10000, lr=0.01",89,55.37719727
"b=10000, lr=0.01",90,80.19433594
"b=10000, lr=0.01",91,43.72951889
"b=10000, lr=0.01",92,69.5694809
"b=10000, lr=0.01",93,34.5261116
"b=10000, lr=0.01",94,70.65078735
"b=10000, lr=0.01",95,56.60800552
"b=10000, lr=0.01",96,60.70845413
"b=10000, lr=0.01",97,86.20874023
"b=10000, lr=0.01",98,62.18757629
"b=10000, lr=0.01",99,80.71582794
"b=10000, lr=0.01",100,85.47621918
"b=10000, lr=0.02",1,-81.62752533
"b=10000, lr=0.02",2,-86.03252411
"b=10000, lr=0.02",3,-100.5234375
"b=10000, lr=0.02",4,-114.6640244
"b=10000, lr=0.02",5,-89.11993408
"b=10000, lr=0.02",6,-104.9366684
"b=10000, lr=0.02",7,-71.58765411
"b=10000, lr=0.02",8,-67.09222412
"b=10000, lr=0.02",9,-60.78879929
"b=10000, lr=0.02",10,-57.46192551
"b=10000, lr=0.02",11,-63.82684326
"b=10000, lr=0.02",12,-46.41437912
"b=10000, lr=0.02",13,-42.47665787
"b=10000, lr=0.02",14,-34.67345047
"b=10000, lr=0.02",15,-62.97616959
"b=10000, lr=0.02",16,-41.72782516
"b=10000, lr=0.02",17,-27.90034676
"b=10000, lr=0.02",18,-43.34886551
"b=10000, lr=0.02",19,-39.5684166
"b=10000, lr=0.02",20,-29.93371582
"b=10000, lr=0.02",21,-3.115056276
"b=10000, lr=0.02",22,-29.93239784
"b=10000, lr=0.02",23,-40.10043716
"b=10000, lr=0.02",24,-14.28966618
"b=10000, lr=0.02",25,5.451625347
"b=10000, lr=0.02",26,-8.119551659
"b=10000, lr=0.02",27,-28.3698864
"b=10000, lr=0.02",28,-5.402806759
"b=10000, lr=0.02",29,-21.31475639
"b=10000, lr=0.02",30,-12.26150894
"b=10000, lr=0.02",31,-31.57860565
"b=10000, lr=0.02",32,-24.36978912
"b=10000, lr=0.02",33,0.294707626
"b=10000, lr=0.02",34,-15.38296986
"b=10000, lr=0.02",35,-1.935124755
"b=10000, lr=0.02",36,-1.11410296
"b=10000, lr=0.02",37,-7.817218781
"b=10000, lr=0.02",38,-1.467791557
"b=10000, lr=0.02",39,-20.16173363
"b=10000, lr=0.02",40,15.76229477
"b=10000, lr=0.02",41,-11.86727524
"b=10000, lr=0.02",42,-7.759902954
"b=10000, lr=0.02",43,29.67354012
"b=10000, lr=0.02",44,29.3259964
"b=10000, lr=0.02",45,13.05701542
"b=10000, lr=0.02",46,6.875097752
"b=10000, lr=0.02",47,1.462215781
"b=10000, lr=0.02",48,13.21330643
"b=10000, lr=0.02",49,8.941981316
"b=10000, lr=0.02",50,26.02254677
"b=10000, lr=0.02",51,24.06926155
"b=10000, lr=0.02",52,12.69020939
"b=10000, lr=0.02",53,15.52616596
"b=10000, lr=0.02",54,28.95186806
"b=10000, lr=0.02",55,21.66911125
"b=10000, lr=0.02",56,31.34982872
"b=10000, lr=0.02",57,35.74725723
"b=10000, lr=0.02",58,51.99576187
"b=10000, lr=0.02",59,35.57472229
"b=10000, lr=0.02",60,34.72345352
"b=10000, lr=0.02",61,64.92137909
"b=10000, lr=0.02",62,68.07485962
"b=10000, lr=0.02",63,49.46693802
"b=10000, lr=0.02",64,21.9446106
"b=10000, lr=0.02",65,50.63959885
"b=10000, lr=0.02",66,47.28029251
"b=10000, lr=0.02",67,32.42045975
"b=10000, lr=0.02",68,19.41689491
"b=10000, lr=0.02",69,24.71739388
"b=10000, lr=0.02",70,19.75691414
"b=10000, lr=0.02",71,8.680579185
"b=10000, lr=0.02",72,75.17899323
"b=10000, lr=0.02",73,44.49557495
"b=10000, lr=0.02",74,38.36365128
"b=10000, lr=0.02",75,54.22886276
"b=10000, lr=0.02",76,62.85598755
"b=10000, lr=0.02",77,71.10544586
"b=10000, lr=0.02",78,65.10381317
"b=10000, lr=0.02",79,91.81455231
"b=10000, lr=0.02",80,62.96358109
"b=10000, lr=0.02",81,53.29182816
"b=10000, lr=0.02",82,70.20068359
"b=10000, lr=0.02",83,54.03390121
"b=10000, lr=0.02",84,76.32138824
"b=10000, lr=0.02",85,62.5263176
"b=10000, lr=0.02",86,62.23637009
"b=10000, lr=0.02",87,56.18445969
"b=10000, lr=0.02",88,66.92861176
"b=10000, lr=0.02",89,39.19416428
"b=10000, lr=0.02",90,77.64911652
"b=10000, lr=0.02",91,80.12728119
"b=10000, lr=0.02",92,68.42948151
"b=10000, lr=0.02",93,44.74645615
"b=10000, lr=0.02",94,71.65465546
"b=10000, lr=0.02",95,75.35298157
"b=10000, lr=0.02",96,62.55731201
"b=10000, lr=0.02",97,73.03411102
"b=10000, lr=0.02",98,52.56599045
"b=10000, lr=0.02",99,70.65144348
"b=10000, lr=0.02",100,52.29238892
"b=30000, lr=0.005",1,-90.32952881
"b=30000, lr=0.005",2,-115.1708374
"b=30000, lr=0.005",3,-89.35749054
"b=30000, lr=0.005",4,-105.6234131
"b=30000, lr=0.005",5,-90.36812592
"b=30000, lr=0.005",6,-49.2804718
"b=30000, lr=0.005",7,-56.29808426
"b=30000, lr=0.005",8,-46.23947144
"b=30000, lr=0.005",9,-81.31208801
"b=30000, lr=0.005",10,-61.53085327
"b=30000, lr=0.005",11,-47.51950073
"b=30000, lr=0.005",12,-79.42307281
"b=30000, lr=0.005",13,-59.02067947
"b=30000, lr=0.005",14,-53.90577316
"b=30000, lr=0.005",15,-61.41379929
"b=30000, lr=0.005",16,-67.89557648
"b=30000, lr=0.005",17,-69.13425446
"b=30000, lr=0.005",18,-76.70171356
"b=30000, lr=0.005",19,-56.47299194
"b=30000, lr=0.005",20,-44.88497925
"b=30000, lr=0.005",21,-63.29338455
"b=30000, lr=0.005",22,-53.18437576
"b=30000, lr=0.005",23,-19.23880196
"b=30000, lr=0.005",24,-37.62417603
"b=30000, lr=0.005",25,-59.49026871
"b=30000, lr=0.005",26,-54.73393631
"b=30000, lr=0.005",27,-44.49333191
"b=30000, lr=0.005",28,-57.30525589
"b=30000, lr=0.005",29,-45.84695053
"b=30000, lr=0.005",30,-52.44543076
"b=30000, lr=0.005",31,-26.2990036
"b=30000, lr=0.005",32,-24.1020298
"b=30000, lr=0.005",33,-40.49869156
"b=30000, lr=0.005",34,-57.25453186
"b=30000, lr=0.005",35,-56.21743774
"b=30000, lr=0.005",36,-56.02481079
"b=30000, lr=0.005",37,-47.19973755
"b=30000, lr=0.005",38,-25.14507866
"b=30000, lr=0.005",39,-48.41022873
"b=30000, lr=0.005",40,-27.56297493
"b=30000, lr=0.005",41,-32.36688614
"b=30000, lr=0.005",42,-43.09410477
"b=30000, lr=0.005",43,-20.25154305
"b=30000, lr=0.005",44,-68.68751526
"b=30000, lr=0.005",45,-59.68701172
"b=30000, lr=0.005",46,-37.65998459
"b=30000, lr=0.005",47,-23.34765053
"b=30000, lr=0.005",48,-52.56882095
"b=30000, lr=0.005",49,-31.44900322
"b=30000, lr=0.005",50,-28.70373726
"b=30000, lr=0.005",51,-38.69179916
"b=30000, lr=0.005",52,-36.49094772
"b=30000, lr=0.005",53,-21.63922119
"b=30000, lr=0.005",54,-28.06128693
"b=30000, lr=0.005",55,-35.41695023
"b=30000, lr=0.005",56,-18.79119682
"b=30000, lr=0.005",57,-28.10674858
"b=30000, lr=0.005",58,-26.74289894
"b=30000, lr=0.005",59,-15.03737164
