Wall time,Step,Value
1662838017.0735219,0,112.19434356689453
1662838027.012655,1,74.7692642211914
1662838036.91033,2,106.31017303466797
1662838046.788237,3,61.80974197387695
1662838056.754755,4,90.65692138671875
1662838066.6627252,5,89.54808044433594
1662838076.5396469,6,61.994407653808594
1662838086.383422,7,66.4816665649414
1662838096.306753,8,83.04225158691406
1662838106.3465111,9,70.84547424316406
1662838116.32283,10,70.49089050292969
1662838126.218068,11,65.72264862060547
1662838136.207411,12,85.01383209228516
1662838146.120236,13,95.65606689453125
1662838155.9766028,14,83.56485748291016
1662838165.792265,15,59.636905670166016
1662838175.6734579,16,78.06214904785156
1662838185.603621,17,76.79102325439453
1662838195.4274611,18,72.98117065429688
1662838205.410645,19,58.26810836791992
1662838215.227684,20,68.63225555419922
1662838225.255685,21,96.9334487915039
1662838235.05041,22,111.26669311523438
1662838244.873174,23,79.32978820800781
1662838254.763061,24,84.99546813964844
