Lambda,Step,Evaluation Average Return
0.99,266,342.7892151
0.99,267,349.1872559
0.99,268,371.0426331
0.99,269,353.7193298
0.99,270,352.9801331
0.99,271,401.9755554
0.99,272,359.5813293
0.99,273,310.2315369
0.99,274,320.7051086
0.99,275,354.7042542
0.99,276,340.6299133
0.99,277,376.1285706
0.99,278,362.3413086
0.99,279,331.7174683
0.99,280,339.6105042
0.99,281,383.9393005
0.99,282,378.7851868
0.99,283,356.7052002
0.99,284,327.0296936
0.99,285,339.2130127
0.99,286,353.7757568
0.99,287,366.4046936
0.99,288,318.453064
0.99,289,383.6322937
0.99,290,374.9947205
0.99,291,313.9035645
0.99,292,373.0661316
0.99,293,369.3554688
0.99,294,336.4392395
0.99,295,440.2628174
0.99,296,329.9673462
0.99,297,416.8561096
0.99,298,314.4182129
0.99,299,393.4466858
0.99,300,500.2489014
1.00,1,10.02119541
1.00,2,9.883951187
1.00,3,13.3961153
1.00,4,11.5828867
1.00,5,16.4190464
1.00,6,11.28200722
1.00,7,13.89272499
1.00,8,11.71811008
1.00,9,19.08129501
1.00,10,21.88368034
1.00,11,35.93023682
1.00,12,22.21590614
1.00,13,24.9190731
1.00,14,28.96065903
1.00,15,35.3829689
1.00,16,32.07220459
1.00,17,24.44270706
1.00,18,63.94471359
1.00,19,36.36065292
1.00,20,28.08158493
1.00,21,82.34363556
1.00,22,60.75227356
1.00,23,77.57232666
1.00,24,59.70952606
1.00,25,51.87477493
1.00,26,46.35328293
1.00,27,45.62071991
1.00,28,138.4158478
1.00,29,94.15895844
1.00,30,95.50621033
1.00,31,120.8234253
1.00,32,70.87210846
1.00,33,121.5244751
1.00,34,81.47723389
1.00,35,97.38603973
1.00,36,148.7555237
1.00,37,111.7852478
1.00,38,109.1526108
1.00,39,90.97969055
1.00,40,108.1782761
1.00,41,108.9893417
1.00,42,119.005127
1.00,43,92.1628418
1.00,44,125.2216721
1.00,45,104.9719772
1.00,46,77.14897156
1.00,47,97.68836975
1.00,48,126.0210571
1.00,49,117.1065292
1.00,50,106.6104507
1.00,51,125.1694031
1.00,52,182.6046753
1.00,53,129.702713
1.00,54,120.1290054
1.00,55,146.5843201
1.00,56,124.8058472
1.00,57,144.5525665
1.00,58,189.6379089
1.00,59,130.1083221
1.00,60,178.1902161
1.00,61,194.1591034
1.00,62,134.1836548
1.00,63,193.3491821
1.00,64,184.0028534
1.00,65,173.0040894
1.00,66,170.5007935
1.00,67,202.1951752
1.00,68,148.009903
1.00,69,172.2805176
1.00,70,218.0915222
1.00,71,176.3227692
1.00,72,204.7473907
1.00,73,184.5076447
1.00,74,183.2520294
1.00,75,165.2538147
1.00,76,167.1882629
1.00,77,183.050293
1.00,78,219.8133392
1.00,79,202.422287
1.00,80,247.1252441
1.00,81,214.3155823
1.00,82,192.3277893
1.00,83,229.0098877
1.00,84,228.7042542
1.00,85,229.8615112
1.00,86,237.4786377
1.00,87,187.1419373
1.00,88,168.664093
1.00,89,236.5731812
1.00,90,207.5814209
1.00,91,222.6656036
1.00,92,175.32164
1.00,93,190.7857208
1.00,94,250.4726868
1.00,95,267.1296692
1.00,96,247.2843933
1.00,97,232.7402649
1.00,98,225.9683075
1.00,99,239.9187622
1.00,100,268.4876709
1.00,101,190.7790527
1.00,102,238.5553436
1.00,103,214.5895233
1.00,104,265.8869019
1.00,105,199.5733185
1.00,106,249.6975403
1.00,107,255.3463593
1.00,108,276.3568115
1.00,109,270.5523376
1.00,110,211.2545471
1.00,111,182.0343018
1.00,112,269.7616882
1.00,113,233.4753723
1.00,114,261.3471375
1.00,115,262.7448425
1.00,116,221.3529053
1.00,117,266.0740662
1.00,118,280.3928528
1.00,119,286.4604492
1.00,120,279.696228
1.00,121,274.3348083
1.00,122,304.54776
1.00,123,253.1767578
1.00,124,246.5855103
1.00,125,279.9814148
1.00,126,277.9650879
1.00,127,220.9136963
1.00,128,274.5541382
1.00,129,273.1828308
1.00,130,273.2745056
1.00,131,313.6488953
1.00,132,220.3576508
1.00,133,242.2038422
1.00,134,243.8781738
1.00,135,278.117157
1.00,136,297.4615784
1.00,137,320.6323242
1.00,138,386.3321228
1.00,139,228.0746307
1.00,140,329.2231445
1.00,141,329.5331421
1.00,142,216.8667297
1.00,143,269.54245
1.00,144,225.4173126
1.00,145,349.5796204
1.00,146,216.9114532
1.00,147,327.9003296
1.00,148,283.3337708
1.00,149,356.2036133
1.00,150,270.4898376
1.00,151,304.0269775
1.00,152,300.2991638
1.00,153,366.6218872
1.00,154,306.4496155
1.00,155,333.2006531
1.00,156,305.4472351
1.00,157,343.1678162
1.00,158,381.0157471
1.00,159,358.7007141
1.00,160,294.2016602
1.00,161,213.2533722
1.00,162,359.9481201
1.00,163,534.0165405
1.00,164,348.1292114
1.00,165,365.8765259
1.00,166,365.8529358
1.00,167,297.9168091
1.00,168,510.191803
1.00,169,329.0299988
1.00,170,351.1616821
1.00,171,421.1105957
1.00,172,398.2840881
1.00,173,338.5003967
1.00,174,319.0764771
1.00,175,313.0993652
1.00,176,375.9849243
1.00,177,535.5129395
1.00,178,418.9269104
1.00,179,328.9766541
1.00,180,382.4474487
1.00,181,336.7571411
1.00,182,353.6674805
1.00,183,469.6530151
1.00,184,356.9999084
1.00,185,347.5118103
1.00,186,319.2379761
1.00,187,366.8136597
1.00,188,308.9204102
1.00,189,374.3404846
1.00,190,349.9198608
1.00,191,327.6904297
1.00,192,397.3585815
1.00,193,296.3112793
1.00,194,402.7140503
1.00,195,420.4151001
1.00,196,419.1143799
1.00,197,361.0621643
1.00,198,452.1196899
1.00,199,337.1185303
1.00,200,407.3828125
1.00,201,466.3296204
1.00,202,417.3764038
1.00,203,411.5408325
1.00,204,345.2072144
1.00,205,369.6932373
1.00,206,396.0511169
1.00,207,368.049408
1.00,208,586.7403564
1.00,209,379.1295776
1.00,210,340.0629272
1.00,211,705.5162964
1.00,212,401.8462219
1.00,213,351.6093445
1.00,214,372.2842407
1.00,215,593.6424561
1.00,216,479.4927979
1.00,217,482.8569641
1.00,218,412.2437134
1.00,219,584.302124
1.00,220,375.7164612
1.00,221,398.9607544
1.00,222,458.3347778
1.00,223,498.2430115
1.00,224,578.2640381
1.00,225,574.5046387
1.00,226,817.4658203
1.00,227,644.1239624
1.00,228,639.8391113
1.00,229,462.1713562
1.00,230,594.0878906
1.00,231,377.3017273
1.00,232,852.9083252
1.00,233,490.0647583
1.00,234,623.2182007
1.00,235,563.6253052
1.00,236,543.4726563
1.00,237,404.3349609
1.00,238,530.9958496
1.00,239,475.0681152
1.00,240,443.8348999
1.00,241,462.5993958
1.00,242,633.8571167
1.00,243,595.9095459
1.00,244,496.2423096
1.00,245,609.1774902
1.00,246,607.4647827
1.00,247,429.401886
1.00,248,649.8563232
1.00,249,818.56073
1.00,250,430.4743042
1.00,251,451.7275391
1.00,252,547.9099121
1.00,253,383.3092651
1.00,254,665.25177
1.00,255,413.4976807
1.00,256,663.8361206
1.00,257,415.331543
1.00,258,543.5359497
1.00,259,464.3357544
1.00,260,609.9866333
1.00,261,449.0549316
1.00,262,565.8532715
1.00,263,671.2860107
1.00,264,560.0985718
1.00,265,406.6192017
1.00,266,419.5470886
1.00,267,474.7417603
1.00,268,442.5884705
1.00,269,434.6731873
1.00,270,456.1986694
1.00,271,559.6859741
1.00,272,478.6505737
1.00,273,576.5283203
1.00,274,609.4880371
1.00,275,536.1068115
1.00,276,498.7288208
1.00,277,702.0683594
1.00,278,407.9279175
1.00,279,595.1323242
1.00,280,394.6741333
1.00,281,504.8422852
1.00,282,577.7202148
1.00,283,359.9701233
1.00,284,412.8760986
1.00,285,685.8735352
1.00,286,603.9419556
1.00,287,608.9118652
1.00,288,1007.419312
1.00,289,465.5691833
1.00,290,560.6675415
1.00,291,632.7349854
1.00,292,762.0042114
1.00,293,675.5876465
1.00,294,592.9777832
1.00,295,472.365387
1.00,296,591.9029541
1.00,297,629.1265869
1.00,298,503.3994751
1.00,299,594.3709106
1.00,300,593.901001
