Wall time,Step,Value
1665264806.6626787,10001,-219.1560516357422
1665264848.5884814,20001,-183.22442626953125
1665264897.9179308,30001,-163.57252502441406
1665264946.900477,40001,-147.3738555908203
1665264998.2962415,50001,-139.14990234375
1665265048.7564046,60001,-124.90754699707031
1665265101.058377,70001,-120.2855453491211
1665265150.2499993,80001,-105.46797180175781
1665265198.7292774,90001,-89.41264343261719
1665265246.4634223,100001,-58.698726654052734
1665265294.7689688,110001,-39.0991096496582
1665265343.0777469,120001,-16.743009567260742
1665265391.3251104,130001,8.575987815856934
1665265440.1013458,140001,24.150989532470703
1665265488.836869,150001,37.10493850708008
1665265537.2064872,160001,36.751834869384766
1665265588.5728178,170001,35.802913665771484
1665265639.434381,180001,41.622230529785156
1665265688.6089616,190001,54.667686462402344
1665265738.5598085,200001,68.87493133544922
1665265787.9031858,210001,69.74542236328125
1665265837.2721725,220001,79.47811889648438
1665265886.1220627,230001,86.95707702636719
1665265933.351963,240001,94.49288940429688
1665265981.3397439,250001,105.30542755126953
1665266029.4930303,260001,105.4654312133789
1665266077.8589594,270001,104.10296630859375
1665266126.3221276,280001,102.99232482910156
1665266176.8916578,290001,111.0004653930664
1665266223.9698067,300001,134.67477416992188
1665266271.759044,310001,136.80348205566406
1665266318.5481465,320001,137.9196014404297
1665266364.4331484,330001,142.24847412109375
1665266411.4557836,340001,137.90501403808594
1665266457.3647385,350001,141.67127990722656
1665266504.1259387,360001,148.71725463867188
1665266550.0331695,370001,138.87094116210938
1665266597.4659147,380001,138.37335205078125
1665266644.0651755,390001,134.92428588867188
1665266690.0380974,400001,131.4269561767578
1665266736.2697992,410001,131.9468994140625
1665266782.211225,420001,113.0447769165039
1665266828.2995234,430001,127.33670043945312
1665266874.9004552,440001,137.6873016357422
1665266920.7510457,450001,141.39999389648438
1665266966.8318934,460001,133.84408569335938
1665267011.2250214,470001,121.38867950439453
1665267049.7799509,480001,118.91364288330078
1665267082.1647706,490001,114.69598388671875
