Wall time,Step,Value
1665207163.976728,10001,-206.9857177734375
1665207199.0347984,20001,-166.9394073486328
1665207238.1452503,30001,-138.2227020263672
1665207279.1341965,40001,-136.73373413085938
1665207321.1514628,50001,-132.24313354492188
1665207364.046554,60001,-127.04925537109375
1665207406.85934,70001,-105.66309356689453
1665207448.6316543,80001,-103.79324340820312
1665207490.1010025,90001,-103.22429656982422
1665207528.626394,100001,-80.7592544555664
1665207566.1000674,110001,-48.977054595947266
1665207605.507092,120001,-12.407452583312988
1665207646.0867443,130001,8.083573341369629
1665207685.9771674,140001,31.3787899017334
1665207725.0398507,150001,49.086483001708984
1665207763.166002,160001,38.93595886230469
1665207803.3626292,170001,46.53116226196289
1665207841.871791,180001,44.476646423339844
1665207882.1227977,190001,42.54838943481445
1665207921.5497785,200001,31.238645553588867
1665207960.71967,210001,33.35554122924805
1665208000.202223,220001,33.27238464355469
1665208037.3218029,230001,70.80309295654297
1665208074.9094138,240001,67.5951919555664
1665208116.0817833,250001,54.503692626953125
1665208153.7796416,260001,30.879127502441406
1665208192.7312312,270001,47.054927825927734
1665208233.1630442,280001,58.0727424621582
1665208271.7225285,290001,61.917171478271484
1665208309.2624729,300001,61.61530685424805
1665208345.4334548,310001,72.66696166992188
1665208381.527617,320001,107.26014709472656
1665208417.388419,330001,147.96961975097656
1665208453.9282663,340001,160.9911651611328
1665208489.7089343,350001,164.32843017578125
1665208526.0069802,360001,180.13143920898438
1665208562.521149,370001,187.4097137451172
1665208598.5240326,380001,159.36605834960938
1665208635.6631255,390001,135.85980224609375
1665208672.4947522,400001,133.9893035888672
1665208709.6212547,410001,125.41300964355469
1665208746.6734123,420001,124.47272491455078
1665208783.2626476,430001,121.13920593261719
1665208819.8555331,440001,86.25579833984375
1665208856.895608,450001,66.8795394897461
1665208895.1458116,460001,76.55272674560547
1665208935.1510828,470001,89.30606079101562
1665208973.4888015,480001,60.936248779296875
1665209011.9407592,490001,52.109066009521484
